,corriere_all,corriere_18
0,658,305
1,2300,569
2,5413,1385
3,2155,404
4,231,108
5,826,236
6,341,89
7,495,228
8,598,195
9,3621,701
10,108,48
11,907,230
12,4669,1564
13,3503,842
14,268,103
15,790,329
16,118,38
17,49,9
18,283,76
19,2343,307
20,524,139
21,361,67
22,341,103
23,82,26
24,120,29
25,381,122
26,243,122
27,192,52
28,444,64
29,251,70
30,195,93
31,289,78
32,739,157
33,467,126
34,665,113
35,548,93
36,33,14
37,19,8
38,201,78
39,900,169
40,210,53
41,235,66
42,320,87
43,1553,436
44,647,106
45,2496,425
46,379,101
47,271,102
48,32,17
49,162,50
50,106,27
51,2784,638
52,376,146
53,329,55
54,202,78
55,139,35
56,250,61
57,426,61
58,39,23
59,191,103
60,278,93
61,1831,164
62,1018,508
63,1106,280
64,1326,354
65,132,34
66,1186,296
67,677,111
68,3,0
69,55,5
70,200,43
71,120,35
72,160,46
73,762,385
74,298,78
75,197,31
76,5189,880
77,181,80
78,284,133
79,52,42
80,96,13
81,120,27
82,315,28
83,531,215
84,53,39
85,133,60
86,145,40
87,198,90
88,112,31
89,5,1
90,18,6
91,2509,699
92,38,12
93,27,11
94,158,22
95,66,8
96,258,93
97,4,3
98,18,8
99,22,12
100,180,141
101,49,27
102,152,27
103,1594,362
104,241,26
105,11,2
106,44,33
107,167,29
108,27,4
109,179,39
110,1311,322
111,132,46
112,,0
113,1504,303
114,222,60
115,183,44
116,12,5
117,40,38
118,20,5
119,20,18
120,62,42
121,67,45
122,2089,483
123,64,15
124,91,33
125,2733,599
126,70,16
127,6,3
128,32,6
129,75,45
130,480,322
131,974,247
132,250,84
133,19,1
134,1211,291
135,30,8
136,17,5
137,10,3
138,1262,305
139,1027,297
140,106,32
141,1256,382
142,963,349
143,1507,345
144,549,22
145,55,10
146,95,27
147,137,24
148,114,32
149,69,11
150,69,27
151,2678,629
152,62,21
153,61,18
154,595,180
155,790,196
156,198,88
157,15,10
158,2,2
159,10,3
160,16,6
161,35,9
162,9,7
163,629,180
164,30,10
165,,1
166,4,2
167,7,3
168,233,114
169,1796,348
170,1227,196
171,47,28
172,623,281
173,40,27
174,65,30
175,20,5
176,210,47
177,131,36
178,67,30
179,2731,550
180,2,2
181,18,5
182,78,36
183,93,48
184,158,16
185,15,7
186,,0
187,14,12
188,40,33
189,27,4
190,43,22
191,26,19
192,130,36
193,65,52
194,43,27
195,866,325
196,14,4
197,160,32
198,28,9
199,4,3
200,25,14
201,318,87
202,20,6
203,20,10
204,56,22
205,104,31
206,2,0
207,1962,382
208,849,25
209,108,25
210,25,3
211,282,192
212,29,12
213,91,23
214,263,34
215,22,6
216,175,166
217,334,81
218,224,71
219,572,109
220,29,8
221,51,4
222,2081,416
223,304,82
224,436,31
225,766,329
226,43,17
227,342,53
228,2,1
229,332,159
230,10,9
231,14,7
232,17,11
233,72,11
234,34,14
235,1542,284
236,2,0
237,1428,268
238,18,4
239,94,46
240,35,9
241,230,19
242,11,2
243,15,9
244,198,88
245,9,3
246,181,132
247,156,148
248,2,1
249,14,5
250,9,4
251,25,5
252,141,134
253,16,6
254,6,6
255,166,42
256,17,3
257,10,7
258,37,11
259,81,0
260,56,11
261,44,7
262,185,59
263,889,189
264,548,303
265,649,260
266,31,9
267,193,61
268,49,7
269,17,15
270,87,22
271,4,0
272,5,1
273,804,359
274,798,206
275,19,9
276,222,122
277,46,19
278,923,142
279,10,3
280,16,7
281,5,0
282,19,12
283,100,46
284,27,2
285,565,166
286,109,29
287,185,27
288,71,13
289,3,1
290,17,9
291,204,46
292,74,19
293,263,64
294,1412,287
295,3015,686
296,743,374
297,266,45
298,42,8
299,1520,286
