kicker_all,kicker_18
282,154
1289,221
2595,291
552,205
313,128
594,162
954,125
408,133
1072,228
302,89
147,54
428,113
4035,400
214,47
209,103
68,32
1729,378
0,0
375,100
561,130
404,109
614,110
241,92
12,2
163,61
306,98
698,129
190,51
18,5
1060,142
236,61
400,77
3076,360
2728,341
747,93
1370,194
74,44
184,92
137,71
155,40
264,69
343,77
452,93
2827,276
17,1
260,59
754,100
231,88
1,0
211,77
58,40
240,59
347,103
268,80
166,76
171,71
249,59
153,42
1265,235
168,107
374,90
391,50
125,102
163,47
86,37
83,4
528,94
791,105
239,124
124,61
184,54
954,224
193,56
527,83
8,0
2618,283
759,80
998,63
34,20
39,21
4,2
301,49
594,132
55,26
79,40
838,62
60,40
103,45
227,52
626,147
66,36
383,57
207,89
538,43
1323,164
7699,412
285,72
144,118
233,107
21,17
62,37
420,131
92,39
117,46
269,142
698,159
61,39
124,28
87,33
114,36
262,63
316,57
0,0
669,64
2,1
131,13
1,0
279,148
1,1
20,15
31,28
97,31
122,40
88,13
63,23
101,32
628,66
583,137
0,0
64,45
71,42
117,42
190,128
104,44
194,65
866,219
156,30
116,57
595,80
72,33
702,86
91,34
298,73
137,42
0,0
119,46
181,48
1,1
210,64
34,0
149,41
202,57
2118,314
11,3
803,155
862,104
390,110
3,3
11,10
39,12
0,0
18,7
91,64
12,1
36,11
80,53
4,2
0,0
102,19
90,20
0,0
77,44
300,39
84,45
66,16
0,0
765,74
192,57
450,180
342,72
129,116
0,0
107,31
168,46
39,18
49,18
62,38
216,97
41,36
68,30
83,53
47,38
1,0
83,27
62,30
14,11
0,0
40,23
1,0
313,121
28,14
569,62
387,180
0,0
641,205
68,28
23,7
165,44
61,15
1,1
103,18
481,73
119,30
1154,86
1435,113
48,15
22,1
173,54
5,0
245,62
171,35
300,42
300,41
981,97
228,125
231,78
210,57
19096,1374
8,7
65,39
0,0
119,51
19,8
98,88
6,0
211,48
19,2
107,28
193,66
60,44
639,36
91,27
37,6
12,7
390,110
0,0
23,14
0,0
148,88
14,12
20,14
16,9
0,0
0,0
28,18
32,11
9,6
17,13
33,9
26,6
259,126
423,105
3,2
52,27
49,36
29,20
515,87
15,8
84,29
14,8
4,2
262,92
26,13
35,23
67,34
50,21
23,15
22,6
38,4
801,115
456,140
380,112
452,106
151,68
379,50
100,48
86,33
131,37
71,10
50,8
53,22
532,31
478,20
1040,111
2330,216
1082,72
657,163
722,39
58,13
3,0
