Squadra,Nazione
FC Barcellona,Spagna
Real Madrid CF,Spagna
Atlético de Madrid,Spagna
Valencia CF,Spagna
FC Siviglia,Spagna
Real Sociedad,Spagna
Athletic Bilbao,Spagna
Villarreal CF,Spagna
Celta de Vigo,Spagna
Real Betis Balompié,Spagna
RCD Espanyol Barcellona,Spagna
CD Leganés,Spagna
Girona FC,Spagna
Levante UD,Spagna
Getafe CF,Spagna
Deportivo Alavés,Spagna
SD Eibar,Spagna
Rayo Vallecano,Spagna
Real Valladolid CF,Spagna
SD Huesca,Spagna
Manchester City,Inghilterra
FC Liverpool,Inghilterra
Chelsea FC,Inghilterra
Tottenham Hotspur,Inghilterra
Manchester United,Inghilterra
FC Arsenal,Inghilterra
FC Everton,Inghilterra
Leicester City,Inghilterra
West Ham United,Inghilterra
FC Southampton,Inghilterra
FC Fulham,Inghilterra
Wolverhampton Wanderers,Inghilterra
Crystal Palace,Inghilterra
AFC Bournemouth,Inghilterra
FC Watford,Inghilterra
FC Burnley,Inghilterra
Brighton & Hove Albion,Inghilterra
Newcastle United,Inghilterra
Huddersfield Town,Inghilterra
Cardiff City,Inghilterra
Juventus FC,Italia
FC Internazionale,Italia
SSC Napoli,Italia
AC Milan,Italia
AS Roma,Italia
SS Lazio,Italia
ACF Fiorentina,Italia
Atalanta BC,Italia
UC Sampdoria,Italia
Torino FC,Italia
US Sassuolo,Italia
Udinese Calcio,Italia
Cagliari Calcio,Italia
Genoa CFC,Italia
Bologna FC 1909,Italia
Parma Calcio 1913,Italia
SPAL 2013,Italia
Empoli FC,Italia
Frosinone Calcio,Italia
AC Chievo Verona,Italia
FC Paris Saint-Germain,Francia
Olympique Lione,Francia
AS Monaco,Francia
Olympique Marsiglia,Francia
LOSC Lilla,Francia
OGC Nizza,Francia
Stade Rennais FC,Francia
FC Girondins Bordeaux,Francia
FC Nantes,Francia
AS Saint Étienne,Francia
FC Tolosa,Francia
HSC Montpellier,Francia
RC Strasburgo Alsazia,Francia
Nîmes Olympique,Francia
FCO Digione,Francia
SCO Angers,Francia
SM Caen,Francia
SC Amiens,Francia
EA Guingamp,Francia
Stade Reims,Francia
FC Bayern Monaco,Germania
Borussia Dortmund,Germania
Bayer 04 Leverkusen,Germania
RasenBallsport Lipsia,Germania
TSG 1899 Hoffenheim,Germania
Borussia Mönchengladbach,Germania
FC Schalke 04,Germania
Eintracht Francoforte,Germania
Hertha BSC,Germania
VfL Wolfsburg,Germania
VfB Stoccarda,Germania
SV Werder Brema,Germania
1.FSV Magonza 05,Germania
FC Augusta,Germania
Hannover 96,Germania
SC Friburgo,Germania
1. FC Norimberga,Germania
Fortuna Düsseldorf,Germania
AFC Ajax Amsterdam,Olanda
PSV Eindhoven,Olanda
Feyenoord Rotterdam,Olanda
AZ Alkmaar,Olanda
FC Utrecht,Olanda
Vitesse Arnhem,Olanda
SC Heerenveen,Olanda
ADO Den Haag,Olanda
FC Groningen,Olanda
PEC Zwolle,Olanda
Heracles Almelo,Olanda
Willem II Tilburg,Olanda
VVV-Venlo,Olanda
NAC Breda,Olanda
Fortuna Sittard,Olanda
Excelsior Rotterdam,Olanda
De Graafschap Doetinchem,Olanda
FC Emmen,Olanda
Benfica Lisbona,Portogallo
FC Porto,Portogallo
Sporting CP,Portogallo
SC Braga,Portogallo
Vitória Guimarães SC,Portogallo
Portimonense SC,Portogallo
Rio Ave FC,Portogallo
CS Marítimo,Portogallo
GD Chaves,Portogallo
Moreirense FC,Portogallo
Vitória Setúbal FC,Portogallo
CD Tondela,Portogallo
Os Belenenses SAD,Portogallo
Boavista Porto FC,Portogallo
CD Feirense,Portogallo
CD Santa Clara,Portogallo
Desportivo Aves,Portogallo
CD Nacional,Portogallo
Guangzhou Evergrande Taobao,Cina
Shanghai SIPG,Cina
Beijing Sinobo Guoan,Cina
Dalian Yifang,Cina
Shandong Luneng Taishan,Cina
Jiangsu Suning,Cina
Shanghai Greenland Shenhua,Cina
Changchun Yatai,Cina
Guangzhou R&F,Cina
Tianjin Teda,Cina
Hebei China Fortune,Cina
Tianjin Quanjian,Cina
Beijing Renhe,Cina
Henan Jianye,Cina
Chongqing Dangdai Lifan,Cina
Guizhou Hengfeng,Cina
